"plot","drought","juv","juv_lcl","juv_ucl","ad_fem","ad_fem_lcl","ad_fem_ucl","ad_male","ad_male_lcl","ad_male_ucl","trans","trans_lcl","trans_ucl","lambda","lambda_lcl","lambda_ucl","probdecline"
"HF",3,0.917963587379051,0.755315589794577,0.991215597649528,0.994957027377263,0.987885574241864,0.998540688000921,0.993656486587164,0.984865193894343,0.99811131658511,0.095115380502394,0.0428101755247129,0.28042762927653,1.09540334384905,1.04806376325425,1.16217246740095,0
"HM",3,0.903738476257801,0.766569995482962,0.982924867540224,0.996133140402935,0.991495623206494,0.99865596589944,0.995133376416536,0.989532615628673,0.998290365730879,0.0789737349623968,0.038424773503943,0.141986500371583,1.08616859096633,1.04585945299061,1.12565824946727,0
"HQ",3,0.899002627628372,0.729745739209004,0.983581679452937,0.995090130615177,0.989137561876464,0.998324243102428,0.99381733443011,0.986493640467256,0.997858225955162,0.0760393259640427,0.0225041887969032,0.140427301571275,1.08200489306344,1.03024896234037,1.12478773115179,0.000333333333333333
"LS",3,0.937996117577313,0.858001973477176,0.98800539561485,0.994198178689932,0.988120424835752,0.997819146752681,0.992686638595653,0.985038562123392,0.997145204072785,0.0976742364746993,0.0650446992621014,0.14743296280462,1.10653739673875,1.07854005328677,1.13229501619311,0
"MM",3,0.930553290428724,0.794772424418435,0.992805186682213,0.994813131223637,0.987698857266073,0.998444170546135,0.993478422382351,0.984938739079687,0.997991522811043,0.0864124632029111,0.0375396069100622,0.238221326834584,1.09491716920692,1.04727095102625,1.15628516312326,0
"NW",3,0.877730868156224,0.60956244558188,0.994335474628697,0.998403254908532,0.995188878574706,0.999694669769941,0.997991758260524,0.994018894613941,0.999613802944612,0.0539404362652805,0.0184011935989272,0.128357729473644,1.06575655569193,1.01656440769602,1.12004303938105,0.000333333333333333
"SP",3,0.884964340323654,0.704330989069913,0.982959487328468,0.980714680419771,0.960662657403541,0.992996213450606,0.975793568789674,0.950875970431554,0.991119178317993,0.142760556277822,0.0691032879812263,0.339125478754073,1.0977021045018,1.04294471017787,1.15335788406498,0.000166666666666667
"TM",3,0.939301253964542,0.845265654443136,0.989490736701137,0.994454245704527,0.988092598386399,0.997984270210984,0.993015003624844,0.98534384019584,0.997387797254278,0.0811771996322946,0.0384218219393695,0.134297532694225,1.09753209582199,1.05955438785299,1.12965712714599,0
"WM",3,0.959308342366181,0.834406874487815,0.998743603504166,0.984178452655003,0.962369366158489,0.995954807208755,0.980123042106785,0.953520179179772,0.994858016323257,0.144041119641783,0.0643938307810148,0.258735714068844,1.12636882352172,1.07346978184131,1.16781669850779,0
"WS",3,0.914226983929044,0.790477849936632,0.986962637617555,0.996241603694735,0.99144636981114,0.998804171918112,0.995267476057836,0.989475835659381,0.998460222095312,0.0700808453556609,0.0351771252764742,0.117521333216895,1.08418632772619,1.04677663087151,1.11835381507488,0
