"div","yr","mon","pdsi"
3,2000,12,1.3
3,2001,1,1.54
3,2001,2,1.47
3,2001,3,1.36
3,2001,4,1.48
3,2001,5,1.72
3,2001,6,0.05
3,2001,7,-0.56
3,2001,8,-0.59
3,2001,9,-1.32
3,2001,10,-1.43
3,2001,11,-1.69
3,2001,12,-1.83
3,2002,1,-2.44
3,2002,2,-3.18
3,2002,3,-3.61
3,2002,4,-4.19
3,2002,5,-4.79
3,2002,6,-5.42
3,2002,7,-5.76
3,2002,8,-6.64
3,2002,9,-5.35
3,2002,10,-4.8
3,2002,11,-4.54
3,2002,12,-4.57
3,2003,1,-4.97
3,2003,2,-3.47
3,2003,3,-3.03
3,2003,4,-2.8
3,2003,5,-2.69
3,2003,6,-2.79
3,2003,7,-3.23
3,2003,8,-2.72
3,2003,9,-2.85
3,2003,10,-3.37
3,2003,11,-2.71
3,2003,12,-2.81
3,2004,1,-3.12
3,2004,2,-2.87
3,2004,3,-3.35
3,2004,4,-2.64
3,2004,5,-3.14
3,2004,6,-3.61
3,2004,7,-3.88
3,2004,8,-4.15
3,2004,9,0.53
3,2004,10,2.2
3,2004,11,3.26
3,2004,12,3.71
3,2005,1,5.03
3,2005,2,6.34
3,2005,3,5.65
3,2005,4,5.36
3,2005,5,5.33
3,2005,6,5.15
3,2005,7,-0.22
3,2005,8,-0.08
3,2005,9,-0.84
3,2005,10,-0.63
3,2005,11,-1.2
3,2005,12,-1.89
3,2006,1,-2.63
3,2006,2,-3.38
3,2006,3,-3.09
3,2006,4,-3.22
3,2006,5,-4.04
3,2006,6,-4.5
3,2006,7,-4.28
3,2006,8,-4.2
3,2006,9,-3.4
3,2006,10,-2.91
3,2006,11,-3.32
3,2006,12,-3.59
3,2007,1,-3.71
3,2007,2,-3.91
3,2007,3,-3.99
3,2007,4,-4.54
3,2007,5,-5.19
3,2007,6,-5.74
3,2007,7,-4.71
3,2007,8,-5.07
3,2007,9,-4.72
3,2007,10,-4.82
3,2007,11,-4.76
3,2007,12,-3.57
3,2008,1,-2.19
3,2008,2,-1.81
3,2008,3,-2.22
3,2008,4,-2.32
3,2008,5,-1.6
3,2008,6,-1.22
3,2008,7,-0.95
3,2008,8,-0.89
3,2008,9,-1.33
3,2008,10,-1.9
3,2008,11,-1.53
3,2008,12,-0.73
3,2009,1,-1.18
3,2009,2,-0.97
3,2009,3,-1.55
3,2009,4,-1.59
3,2009,5,-1.42
3,2009,6,-1.63
3,2009,7,-2.07
3,2009,8,-3.05
3,2009,9,-3.32
3,2009,10,-3.55
3,2009,11,-3.88
3,2009,12,0.43
3,2010,1,1.95
3,2010,2,2.1
3,2010,3,1.97
3,2010,4,1.66
3,2010,5,1.8
3,2010,6,2.03
3,2010,7,-0.07
3,2010,8,-0.43
3,2010,9,-1.2
3,2010,10,0.87
3,2010,11,0.4
3,2010,12,0.71
3,2011,1,-0.7
3,2011,2,-0.49
3,2011,3,-1.03
3,2011,4,-1.33
3,2011,5,-1.52
3,2011,6,-1.91
3,2011,7,-2.05
3,2011,8,-3.14
3,2011,9,-3.12
3,2011,10,-2.99
3,2011,11,-2.74
3,2011,12,-2.03
3,2012,1,-2.5
3,2012,2,-2.91
3,2012,3,-2.8
3,2012,4,-2.97
3,2012,5,-3.49
3,2012,6,-4.01
3,2012,7,-2.92
3,2012,8,-2.56
3,2012,9,-2.7
3,2012,10,-3.02
3,2012,11,-3.37
3,2012,12,-2.92
3,2013,1,-2.28
3,2013,2,-2.39
3,2013,3,-2.6
3,2013,4,-2.94
3,2013,5,-3.15
3,2013,6,-3.51
3,2013,7,-2.82
3,2013,8,-2.33
3,2013,9,-1.85
3,2013,10,-2.07
3,2013,11,-1.14
3,2013,12,-1.36
3,2014,1,-2.07
3,2014,2,-2.79
3,2014,3,-3.05
3,2014,4,-3.51
3,2014,5,-4.05
3,2014,6,-4.59
3,2014,7,-4.22
3,2014,8,-2.41
3,2014,9,-1.26
3,2014,10,-1.69
3,2014,11,-2.17
3,2014,12,-1.67
3,2015,1,-1.28
3,2015,2,-1.75
3,2015,3,-1.59
3,2015,4,-1.61
3,2015,5,-1.1
3,2015,6,-0.87
3,2015,7,-0.98
3,2015,8,-1.51
3,2015,9,-1.65
3,2015,10,-0.79
3,2015,11,-0.76
3,2015,12,-1.12
3,2016,1,-0.91
3,2016,2,-1.65
3,2016,3,-2.4
3,2016,4,-2.51
3,2016,5,-2.51
3,2016,6,-3.05
3,2016,7,-3.55
3,2016,8,0.78
3,2016,9,0.73
3,2016,10,0.08
3,2016,11,0.05
3,2016,12,0.7
3,2017,1,1.38
3,2017,2,1.74
3,2017,3,1.07
