"plot","yr.m","ppt"
"BM","1999-10",0
"BM","1999-11",0
"BM","1999-12",0
"BM","2000-01",0
"BM","2000-02",17.89
"BM","2000-03",12.53
"BM","2000-04",0
"BM","2000-05",0
"BM","2000-06",6.95
"BM","2000-07",0
"BM","2000-08",34.42
"BM","2000-09",0
"BM","2000-10",21.4
"BM","2000-11",0.03
"BM","2000-12",0
"BM","2001-01",34.58
"BM","2001-02",32.26
"BM","2001-03",19.64
"BM","2001-04",9.48
"BM","2001-05",0
"BM","2001-06",0
"BM","2001-07",12.19
"BM","2001-08",10.45
"BM","2001-09",6.04
"BM","2001-10",6.36
"BM","2001-11",6.22
"BM","2001-12",5.65
"BM","2002-01",0
"BM","2002-02",0
"BM","2002-03",2.22
"BM","2002-04",0
"BM","2002-05",0
"BM","2002-06",0
"BM","2002-07",5.9
"BM","2002-08",0
"BM","2002-09",24.8
"BM","2002-10",8.82
"BM","2002-11",14.2
"BM","2002-12",5.79
"BM","2003-01",11.11
"BM","2003-02",74.07
"BM","2003-03",31.76
"BM","2003-04",8.32
"BM","2003-05",0
"BM","2003-06",0
"BM","2003-07",3.99
"BM","2003-08",21.16
"BM","2003-09",23
"BM","2003-10",0
"BM","2003-11",11.48
"BM","2003-12",12.17
"BM","2004-01",3.72
"BM","2004-02",35.29
"BM","2004-03",4.73
"BM","2004-04",33.56
"BM","2004-05",0
"BM","2004-06",0
"BM","2004-07",4.55
"BM","2004-08",18.39
"BM","2004-09",13.85
"BM","2004-10",101.98
"BM","2004-11",64.26
"BM","2004-12",13.72
"BM","2005-01",82.74
"BM","2005-02",107.36
"BM","2005-03",10.82
"BM","2005-04",7.45
"BM","2005-05",0
"BM","2005-06",0.24
"BM","2005-07",5.82
"BM","2005-08",33.82
"BM","2005-09",0
"BM","2005-10",33.04
"BM","2005-11",2.65
"BM","2005-12",0
"BM","2006-01",0
"BM","2006-02",1.79
"BM","2006-03",18.1
"BM","2006-04",4.64
"BM","2006-05",0
"BM","2006-06",1.6
"BM","2006-07",24.54
"BM","2006-08",9.31
"BM","2006-09",18.62
"BM","2006-10",23.41
"BM","2006-11",0
"BM","2006-12",0.5
"BM","2007-01",7.01
"BM","2007-02",7.41
"BM","2007-03",2.87
"BM","2007-04",0
"BM","2007-05",0
"BM","2007-06",0
"BM","2007-07",18.12
"BM","2007-08",4.84
"BM","2007-09",10.79
"BM","2007-10",0
"BM","2007-11",4.61
"BM","2007-12",30
"BM","2008-01",43.93
"BM","2008-02",10.77
"BM","2008-03",0
"BM","2008-04",0
"BM","2008-05",7.17
"BM","2008-06",0
"BM","2008-07",10.65
"BM","2008-08",20.74
"BM","2008-09",2.05
"BM","2008-10",0
"BM","2008-11",19.28
"BM","2008-12",44.83
"BM","2009-01",3.81
"BM","2009-02",34.52
"BM","2009-03",0
"BM","2009-04",1
"BM","2009-05",0
"BM","2009-06",0.09
"BM","2009-07",5.13
"BM","2009-08",8.54
"BM","2009-09",5.77
"BM","2009-10",0
"BM","2009-11",0.38
"BM","2009-12",24.23
"BM","2010-01",87.78
"BM","2010-02",24.69
"BM","2010-03",18.77
"BM","2010-04",2.33
"BM","2010-05",0
"BM","2010-06",0.39
"BM","2010-07",4.08
"BM","2010-08",8.85
"BM","2010-09",0.98
"BM","2010-10",29.72
"BM","2010-11",0
"BM","2010-12",32.06
"BM","2011-01",0
"BM","2011-02",43.54
"BM","2011-03",8.81
"BM","2011-04",8.47
"BM","2011-05",3.63
"BM","2011-06",0
"BM","2011-07",17.28
"BM","2011-08",1.45
"BM","2011-09",22.08
"BM","2011-10",7.65
"BM","2011-11",14.94
"BM","2011-12",17.18
"BM","2012-01",0
"BM","2012-02",3.15
"BM","2012-03",9.93
"BM","2012-04",13.26
"BM","2012-05",0
"BM","2012-06",0
"BM","2012-07",52.48
"BM","2012-08",30.84
"BM","2012-09",18.07
"BM","2012-10",15.2
"BM","2012-11",0
"BM","2012-12",39.71
"BM","2013-01",20.49
"BM","2013-02",6.6
"BM","2013-03",7.1
"BM","2013-04",0
"BM","2013-05",0
"BM","2013-06",0
"BM","2013-07",15.08
"BM","2013-08",48.98
"BM","2013-09",45.64
"BM","2013-10",0.59
"BM","2013-11",18.85
"BM","2013-12",0
"BM","2014-01",0
"BM","2014-02",0.71
"BM","2014-03",8.1
"BM","2014-04",2.62
"BM","2014-05",0
"BM","2014-06",0
"BM","2014-07",22.11
"BM","2014-08",55.03
"BM","2014-09",40.13
"BM","2014-10",7.36
"BM","2014-11",0
"BM","2014-12",20.74
"BM","2015-01",22.76
"BM","2015-02",6.13
"BM","2015-03",35.81
"BM","2015-04",5.72
"BM","2015-05",4.87
"BM","2015-06",3.47
"BM","2015-07",25.5
"BM","2015-08",8.72
"BM","2015-09",0
"BM","2015-10",30.59
"BM","2015-11",2.51
"BM","2015-12",4.08
"BM","2016-01",32.5
"BM","2016-02",5.35
"BM","2016-03",0.92
"BM","2016-04",18.88
"BM","2016-05",4.71
"BM","2016-06",0
"BM","2016-07",8.49
"BM","2016-08",46.95
"BM","2016-09",11.3
"BM","2016-10",4.72
"BM","2016-11",5.14
"BM","2016-12",48.81
"BM","2017-01",30.03
"BM","2017-02",33.44
"BM","2017-03",3.65
"BM","2017-04",0
"BM","2017-05",5.63
"BM","2017-06",0
"BM","2017-07",5.72
"BM","2017-08",16.64
"BM","2017-09",26.72
"BM","2017-10",0
"BM","2017-11",0
"BM","2017-12",0
"BM","2018-01",13.8
"BM","2018-02",2.11
"BM","2018-03",9.74
"BM","2018-04",0
"BM","2018-05",0
"BM","2018-06",0
"BM","2018-07",33.44
"BM","2018-08",9.59
"BM","2018-09",0
"BM","2018-10",31.99
"BM","2018-11",2.74
"BM","2018-12",7.89
"BM","2019-01",41.71
"BM","2019-02",43.54
"BM","2019-03",15.88
"BM","2019-04",7.99
"BM","2019-05",6.97
"BM","2019-06",0
"BM","2019-07",0
"BM","2019-08",3.09
"BM","2019-09",12.38
"BM","2019-10",0
"BM","2019-11",66.69
"BM","2019-12",26.63
"BM","2020-01",0.87
"BM","2020-02",15.97
"BM","2020-03",71.76
"BM","2020-04",7.56
"BM","2020-05",0
"BM","2020-06",0
"BM","2020-07",0
"BZ","1985-01",45.87
"BZ","1985-02",40.32
"BZ","1985-03",29.8
"BZ","1985-04",19.17
"BZ","1985-05",4.73
"BZ","1985-06",1.99
"BZ","1985-07",58.92
"BZ","1985-08",4.65
"BZ","1985-09",23.85
"BZ","1985-10",32.92
"BZ","1985-11",97.04
"BZ","1985-12",2.72
"BZ","1986-01",12.16
"BZ","1986-02",39.11
"BZ","1986-03",63.6
"BZ","1986-04",8.64
"BZ","1986-05",1.27
"BZ","1986-06",10.05
"BZ","1986-07",24.39
"BZ","1986-08",70.54
"BZ","1986-09",56.27
"BZ","1986-10",24.14
"BZ","1986-11",16.23
"BZ","1986-12",31.4
"BZ","1987-01",36.1
"BZ","1987-02",46.56
"BZ","1987-03",18.96
"BZ","1987-04",8.83
"BZ","1987-05",8.97
"BZ","1987-06",4.46
"BZ","1987-07",15.9
"BZ","1987-08",41.49
"BZ","1987-09",22.39
"BZ","1987-10",68.85
"BZ","1987-11",61.11
"BZ","1987-12",41.02
"BZ","1988-01",42.64
"BZ","1988-02",27.4
"BZ","1988-03",3.7
"BZ","1988-04",62.17
"BZ","1988-05",0
"BZ","1988-06",1.96
"BZ","1988-07",46.31
"BZ","1988-08",150.03
"BZ","1988-09",3.99
"BZ","1988-10",1.48
"BZ","1988-11",15.23
"BZ","1988-12",8.85
"BZ","1989-01",56.92
"BZ","1989-02",10.63
"BZ","1989-03",20.68
"BZ","1989-04",0
"BZ","1989-05",3.05
"BZ","1989-06",0
"BZ","1989-07",27.1
"BZ","1989-08",53.26
"BZ","1989-09",0.1
"BZ","1989-10",18.81
"BZ","1989-11",0
"BZ","1989-12",19.98
"BZ","1990-01",39.02
"BZ","1990-02",39.53
"BZ","1990-03",26.46
"BZ","1990-04",34.29
"BZ","1990-05",6.76
"BZ","1990-06",6.92
"BZ","1990-07",95.82
"BZ","1990-08",41.55
"BZ","1990-09",74.01
"BZ","1990-10",11.59
"BZ","1990-11",12.79
"BZ","1990-12",2.7
"BZ","1991-01",30.46
"BZ","1991-02",25.85
"BZ","1991-03",159.73
"BZ","1991-04",0
"BZ","1991-05",0
"BZ","1991-06",2.79
"BZ","1991-07",15.87
"BZ","1991-08",34.47
"BZ","1991-09",30.84
"BZ","1991-10",15.06
"BZ","1991-11",38.06
"BZ","1991-12",34.99
"BZ","1992-01",58.42
"BZ","1992-02",84.77
"BZ","1992-03",95.3
"BZ","1992-04",8.78
"BZ","1992-05",37.56
"BZ","1992-06",1.86
"BZ","1992-07",17.47
"BZ","1992-08",129.86
"BZ","1992-09",2.32
"BZ","1992-10",17.95
"BZ","1992-11",0
"BZ","1992-12",115.21
"BZ","1993-01",194.62
"BZ","1993-02",159.21
"BZ","1993-03",41.37
"BZ","1993-04",0
"BZ","1993-05",30.63
"BZ","1993-06",1.06
"BZ","1993-07",0
"BZ","1993-08",45.27
"BZ","1993-09",0
"BZ","1993-10",22.86
"BZ","1993-11",29.22
"BZ","1993-12",9.81
"BZ","1994-01",6.09
"BZ","1994-02",37.75
"BZ","1994-03",32.49
"BZ","1994-04",22.75
"BZ","1994-05",12.01
"BZ","1994-06",1.97
"BZ","1994-07",11.34
"BZ","1994-08",27.33
"BZ","1994-09",35.99
"BZ","1994-10",15.98
"BZ","1994-11",16.65
"BZ","1994-12",74.24
"BZ","1995-01",105.11
"BZ","1995-02",74.33
"BZ","1995-03",60.21
"BZ","1995-04",23.26
"BZ","1995-05",9.6
"BZ","1995-06",4.24
"BZ","1995-07",9.31
"BZ","1995-08",31.32
"BZ","1995-09",18.78
"BZ","1995-10",0
"BZ","1995-11",3.41
"BZ","1995-12",3.8
"BZ","1996-01",3.43
"BZ","1996-02",33.57
"BZ","1996-03",19.1
"BZ","1996-04",0
"BZ","1996-05",3.12
"BZ","1996-06",0
"BZ","1996-07",17.36
"BZ","1996-08",46.82
"BZ","1996-09",25.06
"BZ","1996-10",3.28
"BZ","1996-11",14.84
"BZ","1996-12",7.3
